TIMESTAMP X(mg) Y(mg) Z(mg)
599618627019835904 -868 -388 428
599618627029706752 -873 -390 428
599618627039577600 -877 -387 418
599618627049448576 -879 -385 409
599618627059319424 -872 -383 405
599618627069190272 -863 -382 410
599618627079061120 -857 -381 416
599618627088931968 -861 -375 426
599618627098802944 -875 -372 422
599618627108673792 -881 -370 422
599618627118544640 -877 -369 427
599618627128415488 -860 -371 443
599618627138286464 -853 -366 443
599618627148157312 -852 -354 437
599618627158028160 -859 -340 428
599618627167899008 -867 -337 422
599618627177769984 -875 -333 414
599618627187640832 -877 -330 416
599618627197511680 -873 -323 428
599618627207382528 -868 -316 441
599618627217253376 -864 -316 451
599618627227124352 -866 -316 455
599618627236995200 -872 -321 456
599618627246866048 -876 -320 457
599618627256736896 -889 -315 450
599618627266607872 -899 -310 450
599618627276478720 -904 -298 445
599618627286349602 -905 -283 447
599618627296222080 -907 -266 451
599618627306094592 -907 -258 457
599618627315967232 -906 -269 460
599618627325839744 -906 -273 462
599618627335712384 -907 -273 456
599618627345584896 -907 -273 445
599618627355457536 -904 -272 443
599618627365330048 -904 -268 444
599618627375202688 -902 -258 444
599618627385075200 -901 -250 444
599618627394947840 -904 -244 442
599618627404820352 -909 -232 447
599618627414692992 -917 -217 443
599618627424565504 -939 -201 435
599618627434438144 -954 -181 419
599618627444310656 -959 -155 403
599618627454183296 -960 -137 400
599618627464055808 -953 -130 402
599618627473928448 -944 -125 404
599618627483800960 -941 -118 403
599618627493673600 -937 -111 406
599618627503546112 -942 -94 410
599618627513418752 -951 -84 407
599618627523291264 -963 -72 404
599618627533163904 -970 -63 410
599618627543036416 -978 -56 414
599618627552909056 -982 -47 398
599618627562781568 -987 -39 386
599618627572654080 -986 -33 382
599618627582526720 -982 -28 387
599618627592399232 -982 -26 401
599618627602271872 -986 -24 407
599618627612144384 -992 -18 402
599618627622017024 -998 -9 389
599618627631889536 -997 -5 380
599618627641762250 -993 -3 372
599618627651634048 -988 -7 363
599618627661505792 -984 -5 359
599618627671377536 -981 -7 350
599618627681249280 -978 -2 335
599618627691120896 -975 1 316
599618627700992640 -974 1 308
599618627710864384 -972 5 302
599618627720736128 -970 6 295
599618627730607872 -967 9 287
599618627740479616 -961 6 279
599618627750351360 -952 3 281
599618627760222976 -948 -3 291
599618627770094720 -954 -4 294
599618627779966464 -966 -2 296
599618627789838208 -975 -1 304
599618627799709952 -986 -1 307
599618627809581696 -994 0 307
599618627819453312 -998 1 323
599618627829325056 -1000 2 355
599618627839196800 -994 0 374
599618627849068544 -988 -2 386
599618627858940288 -981 -11 394
599618627868812032 -978 -35 391
599618627878683776 -972 -53 378
599618627888555392 -968 -62 361
599618627898427136 -961 -61 347
599618627908298880 -953 -58 354
599618627918170624 -941 -51 365
599618627928042368 -931 -38 378
599618627937914112 -922 -31 396
599618627947785856 -920 -29 415
599618627957657472 -916 -26 432
599618627967529216 -914 -16 443
599618627977400960 -919 -2 442
599618627987272704 -934 12 432
599618627997144350 -944 22 417
599618628007016064 -950 22 403
599618628016887808 -947 14 402
599618628026759552 -943 7 412
599618628036631296 -941 0 406
599618628046502912 -951 -5 395
599618628056374656 -965 -10 382
599618628066246400 -973 -13 366
599618628076118144 -988 -13 345
599618628085989888 -1003 -10 324
599618628095861632 -1016 -8 309
599618628105733376 -1021 -2 295
599618628115604992 -1028 -1 279
599618628125476736 -1024 -4 270
599618628135348480 -1017 -7 260
599618628145220224 -1015 -8 256
599618628155091968 -1010 -7 251
599618628164963712 -1006 0 246
599618628174835456 -1002 5 243
599618628184707072 -998 18 240
599618628194578816 -998 40 238
599618628204450560 -994 51 239
599618628214322304 -1000 57 234
599618628224194048 -1007 71 227
599618628234065792 -1014 74 221
599618628243937408 -1016 69 215
599618628253809152 -1016 64 198
599618628263680896 -1018 70 182
599618628273552640 -1016 69 178
599618628283424384 -1015 64 159
599618628293296128 -1020 55 173
599618628303167872 -1026 49 175
599618628313039488 -1037 51 152
599618628322911232 -1034 49 139
599618628332782976 -1031 40 133
599618628342654720 -1032 28 127
599618628352526460 -1029 11 127
599618628362398208 -1027 -3 130
599618628372269952 -1027 -6 125
599618628382141696 -1026 -6 125
599618628392013440 -1033 -5 121
599618628401885056 -1038 0 118
599618628411756800 -1036 2 113
599618628421628544 -1038 2 114
599618628431500288 -1038 4 112
599618628441372032 -1039 4 116
599618628451243776 -1037 9 124
599618628461115520 -1033 18 128
599618628470987136 -1030 32 130
599618628480858880 -1026 41 126
599618628490730624 -1024 43 120
599618628500602368 -1022 41 119
599618628510474112 -1024 30 120
599618628520345856 -1028 23 120
599618628530217600 -1036 21 120
599618628540089216 -1042 25 117
599618628549960960 -1040 28 119
599618628559832704 -1034 35 119
599618628569704448 -1035 37 127
599618628579576192 -1038 32 132
599618628589447936 -1037 26 130
599618628599319552 -1041 17 129
599618628609191296 -1039 12 135
599618628619063040 -1039 11 136
599618628628934784 -1038 12 136
599618628638806528 -1033 15 131
599618628648678272 -1025 19 150
599618628658550016 -1018 24 177
599618628668421632 -1017 24 192
599618628678293376 -1015 23 199
599618628688165120 -1015 24 201
599618628698036864 -1014 23 192
599618628707908570 -1012 31 194
599618628717777792 -1009 31 204
599618628727646976 -1009 37 209
599618628737516160 -1009 43 212
599618628747385344 -1011 42 211
599618628757254528 -1012 45 205
